nama_sekolah,alamat,akreditasi
SD Bina Tunas Bangsa,Jl. Pluit Timur Blok MM,A
SD Gemala Ananda,Jl. Lebak Bulus III No. 93G,A
SD IT Daarun Na'iim,Jl. Semanan Raya No. 27,A
SD Kristen Calvin Jakarta,Komp. Kemayoran Blok B-14 No. 1,A
SD Kristen Kasih Karunia,Taman Palem Lestari Blok F-6 No. 21-23,A
SD Kristen Penabur,Boulevard Bukit Gading Raya Blok A5-A8,A
SD Marie Joseph,"Puspa Gading I Blok H-2 No. 4-6-8-10, Jakarta Utara",A
SD NATIONALHIGH JAKARTA SCHOOL,Jl. Raya Pos Pengumben No. 41,A
SD Singapore School Kelapa Gading,Jl. Pegangsaan Dua No. 83,A
SDI Al Achfas Dwi Matra,Jl. Jaha No. 30B,A
SDI Al Azkar,Jl. Karang Tengah Raya 30A,A
SDI Al Barkah,Jl. Karang Tengah Raya No. 10,A
SDI Al Hasaniah,Jl. Margasatwa,A
SDI Al-Amjad,Jl. Damai V No. 14,A
SDI Al-Hikmah,Jl. Kemajuan No. 48-55,A
SDI An Nizomiyah,Jl. Masjid Al Fajri No. 16A,A
SDI Annajah,Jl. Ciledug Raya No. 10,A
SDI Darul Muttaqin,Jl. H. Gaim No. 126 RT10/RW02,A
SDI Darunnajah Ulujami,Jl. Ulujami Raya No. 86,A
SDI Dwi Matra,Jl. MPR III No. 30A,A
SDI Islam Al Ikhlas,Jl. Cipete III No. 3,A
SDI Manaratul Islam,Jl. Madrasah No. 12,A
SDI Manba'ul Hikmah,"Jl. Tipar No. 2, Cakung",A
SDI Plus Al-Islam,Jl. Aselih,A
SDI Plus Darul Musthofa,Jl. Sabar I No. 27,A
SDI Terpadu A BA TA,Jl. Srengseng Raya No. 45,A
SDIT Al Biruni,Jl. Raya Lenteng Agung No. 43,A
SDIT Al Halimiyah,Jl. Robusta Raya No. 31,A
SDIT Al Muhajirin,Jl. Badak Laut No. 20-21,A
SDIT Al-Hikmah,Jl. Al-Barkah I No. 56A,A
SDIT Al-Iman,Jl. Cipinang Elok II,A
SDIT Al-Mughni,Jl. Gatot Subroto Kav. 26,A
SDIT Buah Hati,Jl. H. Baing No. 99 RT11/RW04,A
SDIT Insan Mandiri,Jl. Batu Merah No. 71,A
SDK IPEKA Integrated Christian School (IICS),Jl. Komp. Taman Meruya Ilir Blok K,A
SDK Pelita Anugerah,Jl. Menceng Raya Blok E-3 No. 12-13,A
SDN Ancol 01 Pg.,Jl. Parang Tritis VI No. 2,A
SDN Ancol 03 Pg.,Jl. Kampung Muka No. 419,A
