nama_sekolah,alamat,kecamatan
SDN Cideng 02 Pg.,Jl. Lematang No. 2,Gambir
SDN Cideng 04 Pg.,Jl. Cimalaya No. 1,Gambir
SDN Cideng 06 Pt.,Jl. Cimalaya No. 1,Gambir
SDN Cideng 07 Pg.,Jl. Sangihe No. 26,Gambir
SDN Cideng 09 Pg.,Jl. Cimalaya No. 1,Gambir
SDN Cideng 10 Pg.,Jl. Cilamaya No. 1,Gambir
SDN Cideng 11 Pt.,Jl. Cilamaya No. 1,Gambir
SDN Cideng 13 Pg.,Jl. Cilamaya No. 1,Gambir
SDN Duri Pulo 01 Pg.,Jl. Setiakawan III No. 25,Gambir
SDN Duri Pulo 02 Pg.,Jl. Setiakawan III No. 25,Gambir
SDN Duri Pulo 03 Pg.,Jl. Setiakawan III No. 25,Gambir
SDN Duri Pulo 04 Pg.,Jl. Setiakawan III No. 25,Gambir
SDN Duri Pulo 05 Pg.,Jl. Setiakawan III No. 25,Gambir
SDN Duri Pulo 06 Pt.,Jl. Setiakawan III No. 25,Gambir
SDN Duri Pulo 07 Pg.,Jl. KH. Zainul Arifin No. 71,Gambir
SDN Duri Pulo 08 Pg.,Jl. Subur Raya No. 16,Gambir
SDN Duri Pulo 09 Pg.,Jl. K.H. Zainul Arifin No. 71,Gambir
SDN Duri Pulo 10 Pg.,Jl. Setiakawan III No. 25,Gambir
SDN Kebon Kelapa 02 Pg.,Jl. Batu Tulis Raya XIII No. 20,Gambir
SDN Merdeka Timur 01 Pg,Jl. Medan Merdeka Timur No. 14,Gambir
SDN Petojo Selatan 01 Pg.,Jl. Tanah Abang V No. 29,Gambir
SDN Petojo Selatan 02 Pg.,Jl. Tanah Abang V No. 29,Gambir
SDN Petojo Selatan 05 Pg.,Jl. Petojo Encek XIV No. 35,Gambir
SDN Petojo Selatan 06 Pg.,Jl. Petojo Melintang No. 29,Gambir
SDN Petojo Utara 01 Pg.,Jl. Petojo Selatan I No. 27,Gambir
SDN Petojo Utara 03 Pg.,Jl. Petojo Barat. No. 45,Gambir
SDN Petojo Utara 04 Pt.,Jl. Petojo Barat No. 45,Gambir
SDN Petojo Utara 05 Pg.,Jl. Petojo Barat No. 45,Gambir
SDN Petojo Utara 09 Pg.,Jl. Petojo Barat No. 45,Gambir
SDN Petojo Utara 13 Pg.,Jl. Suryopranoto No. 20,Gambir
SDS Al-Irsyad (PAAP),Jl. K.H. Hasyim Asyhari,Gambir
SDS Bunda Mulia,Jl. A. M. Sangaji No. 20,Gambir
SDS Darussalam,Jl. Batanghari No. 42,Gambir
SDS Kristen II BPK Penabur,Jl. Pembangunan I No. 23,Gambir
SDS Kristen Ketapang I,Jl. K.H. Zainul Arifin No. 35,Gambir
SDS Merpati,Jl. Batutulis XIII No. 18,Gambir
SDS Santa Maria,Jl. Ir. Juanda No. 29,Gambir
SDS Santo Paulus,Jl. Setia Kawan Raya No. 39-41,Gambir
SDS Tarsisius I,Jl. KH. Hasyim Asyhari No. 26,Gambir
