nama_sekolah,alamat,kecamatan,kondisi_lingkungan
SD Khusus Al-Rahmah,Jl. Kampung Sawah Blok B,Cilincing,Padat/Kumuh
SD Khusus Darut Tauhid,Jl. Raya Cacing Kp. Bedeng Malaka II,Cilincing,Padat/Kumuh
SDI Al-Hikmah,Jl. Kemajuan No. 48-55,Pesanggrahan,Padat/Kumuh
SDI Robiatul Adawiyah,Jl. Sungai Tiram No. 39,Cilincing,Padat/Kumuh
SDI Sehati,"Jl. Kapuk Rawa Gabus RT009/RW011, Kapuk",Cengkareng,Padat/Kumuh
SDIT Darul Hikmah,Jl. Pancawarga II No. 38,Jatinegara,Padat/Kumuh
SDN Ancol 03 Pg.,Jl. Kampung Muka No. 419,Pademangan,Padat/Kumuh
SDN Ancol 04 Pt.,Jl. Kampung Muka No. 420,Pademangan,Padat/Kumuh
SDN Angke 01 Pg.,Jl. Angke Indah Gg. V,Tambora,Padat/Kumuh
SDN Angke 04 Pt.,Jl. Angke Indah Gg. V,Tambora,Padat/Kumuh
SDN Angke 06 Pg.,Jl. Angke Indah Gg. V,Tambora,Padat/Kumuh
SDN Balimester 06 Pg.,Jl. Jatinegara Barat IV No. 12,Jatinegara,Padat/Kumuh
SDN Bambu Apus 05 Pg.,Jl. Laksamana VIII PAD TMII,Cipayung,Padat/Kumuh
SDN Batu Ampar 07 Pg.,Jl. SMPN 126,Kramat Jati,Padat/Kumuh
SDN Bintaro 06 Pt.,Jl. Bintaro Permai III,Pesanggrahan,Padat/Kumuh
SDN Bintaro 10 Pt.,Jl. Bintaro Permai III,Pesanggrahan,Padat/Kumuh
SDN Bukit Duri 01 Pg.,Jl. Bukit Duri Tanjakan,T e b e t,Padat/Kumuh
SDN Bukit Duri 03 Pg.,Jl. Peruk No. 32,T e b e t,Padat/Kumuh
SDN Bukit Duri 09 Pg.,Jl. Bukit Duri Tanjakan,T e b e t,Padat/Kumuh
SDN Bukit Duri 10 Pt.,Jl. Bukit Duri Tanjakan,T e b e t,Padat/Kumuh
SDN Bukit Duri 11 Pg.,Jl. Bukit Duri Tanjakan,T e b e t,Padat/Kumuh
SDN Cakung Barat 01 Pg.,Jl. Raya Bekasi Km. 23,Cakung,Padat/Kumuh
SDN Cakung Barat 02 Pg.,Jl. Raya Bekasi Km. 23,Cakung,Padat/Kumuh
SDN Cakung Barat 05 Pg.,Jl. Raya Bekasi Km. 23,Cakung,Padat/Kumuh
SDN Cakung Barat 06 Pg.,Jl. P. Komarudin RT004/RW03,Cakung,Padat/Kumuh
SDN Cakung Barat 07 Pg.,Jl. P. Komarudin,Cakung,Padat/Kumuh
SDN Cakung Barat 08 Pg.,"Jl. Tipar No. 77, Cakung",Cakung,Padat/Kumuh
SDN Cakung Barat 10 Pt.,Jl. Raya Bekasi Km. 23,Cakung,Padat/Kumuh
SDN Cakung Barat 12 Pt.,Jl. Raya Bekasi Km. 23,Cakung,Padat/Kumuh
SDN Cakung Barat 13 Pg.,Jl. Raya Bekasi Km. 23,Cakung,Padat/Kumuh
SDN Cakung Barat 15 Pg.,"Jl. Tipar Kp. Baru, Cakung",Cakung,Padat/Kumuh
SDN Cakung Barat 18 Pt.,Jl. Raya Bks Km. 23,Cakung,Padat/Kumuh
SDN Cakung Timur 01 Pg.,Jl. Raya Bekasi Km. 25,Cakung,Padat/Kumuh
SDN Cakung Timur 07 Pt.,Jl. Raya Bekasi Km. 25,Cakung,Padat/Kumuh
SDN Cawang 11 Pg.,Jl. Cawang III,Kramat Jati,Padat/Kumuh
SDN Cawang 12 Pg.,Belakang RS. UKI,Kramat Jati,Padat/Kumuh
SDN Cawang 14 Pg.,Jl. Jaani Nasir,Kramat Jati,Padat/Kumuh
SDN Cempaka Baru 06 Pt.,Jl. Sumur Batu Raya No. 4,Kemayoran,Padat/Kumuh
SDN Cempaka Baru 12 Pg.,Jl. Remaja II No. 59,Kemayoran,Padat/Kumuh
SDN Cempaka Baru 13 Pg.,Jl. Remaja II No. 57,Kemayoran,Padat/Kumuh
SDN Cempaka Putih Barat 07 Pg.,Jl. Percetakan Negara Raya No. 16,Cempaka Putih,Padat/Kumuh
SDN Cempaka Putih Barat 11 Pg.,Jl. Cempaka Putih Barat II Blok G No. 07,Cempaka Putih,Padat/Kumuh
SDN Cempaka Putih Barat 13 Pg.,Jl. Cempaka Putih Barat II Blok G,Cempaka Putih,Padat/Kumuh
SDN Cempaka Putih Barat 20 Pg.,Jl. Pangkalan Asem Gg. II,Cempaka Putih,Padat/Kumuh
SDN Cempaka Putih Barat 26 Pt.,Jl. Pangkalan Asem,Cempaka Putih,Padat/Kumuh
SDN Cempaka Putih Timur 02 Pt.,Jl. Rawasari Tim. IV No. 2,Cempaka Putih,Padat/Kumuh
SDN Cengkareng Barat 09 Pg.,Jl. Bambu Larangan RT003/RW05,Cengkareng,Padat/Kumuh
SDN Cengkareng Barat 10 Pg.,Jl. Bambu Larangan No. 26,Cengkareng,Padat/Kumuh
SDN Cengkareng Barat 20 Pt.,Jl. Jaya VIII,Cengkareng,Padat/Kumuh
SDN Cengkareng Timur 04 Pt.,Jl. Bangun Nusa III RT006/RW02,Cengkareng,Padat/Kumuh
SDN Cengkareng Timur 10 Pg.,Jl. Fajar Baru Selatan,Cengkareng,Padat/Kumuh
SDN Cengkareng Timur 13 Pt.,Jl. Fajar Baru Selatan,Cengkareng,Padat/Kumuh
SDN Cengkareng Timur 17 Pg.,Jl. Angsana Raya No. 46 RT07/RW12,Cengkareng,Padat/Kumuh
SDN Cengkareng Timur 18 Pg.,Jl. Angsana Raya,Cengkareng,Padat/Kumuh
SDN Cengkareng Timur 19 Pt.,Jl. Angsana Raya,Cengkareng,Padat/Kumuh
SDN Cibubur 08 Pt.,Jl. Taruna Jaya,Ciracas,Padat/Kumuh
SDN Cideng 04 Pg.,Jl. Cimalaya No. 1,Gambir,Padat/Kumuh
SDN Cikoko 01 Pg.,Jl. Cikoko Barat IV No. 19,Pancoran,Padat/Kumuh
SDN Cikoko 04 Pg.,"Jl. B, Cikoko",Pancoran,Padat/Kumuh
SDN Cilandak Barat 07 Pg.,Jl. Caringin Timur No. 40,Cilandak,Padat/Kumuh
SDN Cilandak Barat 13 Pg.,Jl. Tmn Wijaya Kusuma III,Cilandak,Padat/Kumuh
SDN Cilincing 02 Pg.,Jl. Bhakti VI,Cilincing,Padat/Kumuh
SDN Cilincing 08 Pg.,Jl. Pedongkelan RT001/RW06,Cilincing,Padat/Kumuh
SDN Cipete Selatan 04 Pg.,"Komp. BRI, Jl. Anggur II",Cilandak,Padat/Kumuh
